ID,UNIVESITY,URL,CODE,NAME,CODE,SCORE,METHOD
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Kỹ thuật xét nghiệm y học,7720601,"B00, B03, B08, A02, XDHB",19,Học bạ lớp 12 THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Quản trị kinh doanh,7340101,"A00, A01, D01, D07, XDHB",18,Học bạ lớp 12 THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Công nghệ sinh học,7420201,"B00, B03, B08, A02, XDHB",18,Học bạ lớp 12 THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Kinh doanh quốc tế,7340120,"A00, A01, D01, D07, XDHB",18,Học bạ lớp 12 THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Điều dưỡng,7720301,"B00, B03, B08, A02, XDHB",19,Học bạ lớp 12 THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Ngôn ngữ Anh,7220201,"A01, D01, D07, D08, XDHB",18,Học bạ lớp 12 THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Y khoa,7720101,"B00, B03, B08, A02, XDHB",23,Học bạ lớp 12 THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Kỹ thuật xét nghiệm y học,7720601,DGNLHCM,700,Đánh giá năng lực Đại học Quốc gia TP.HCM
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Quản trị kinh doanh,7340101,DGNLHCM,650,Đánh giá năng lực Đại học Quốc gia TP.HCM
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Công nghệ sinh học,7420201,DGNLHCM,650,Đánh giá năng lực Đại học Quốc gia TP.HCM
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Kinh doanh quốc tế,7340120,DGNLHCM,650,Đánh giá năng lực Đại học Quốc gia TP.HCM
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Điều dưỡng,7720301,DGNLHCM,700,Đánh giá năng lực Đại học Quốc gia TP.HCM
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Ngôn ngữ Anh,7220201,DGNLHCM,650,Đánh giá năng lực Đại học Quốc gia TP.HCM
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Y khoa,7720101,DGNLHCM,800,Đánh giá năng lực Đại học Quốc gia TP.HCM
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Quản trị kinh doanh,7340101,"A00, A01, D01, D07, XDHB",30,Học bạ 5 học kỳ THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Công nghệ sinh học,7420201,"B00, B03, B08, A02, XDHB",30,Học bạ 5 học kỳ THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Kinh doanh quốc tế,7340120,"A00, A01, D01, D07",30,Học bạ 5 học kỳ THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Ngôn ngữ Anh,7220201,"A00, D01, D07, D08",30,Học bạ 5 học kỳ THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Khoa học máy tính,7480101,"A00, A01, D01, D07, XDHB",30,Học bạ 5 học kỳ THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Khoa học máy tính,7480101,DGNLHCM,650,Đánh giá năng lực Đại học Quốc gia TP.HCM
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Khoa học máy tính,7480101,"A00, A01, D01, D07, XDHB",18,Học bạ lớp 12 THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Tài chính - Ngân hàng,7340201,"A00, A01, D01, D07, XDHB",30,Học bạ 5 học kỳ THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Kế toán,7340301,"A00, A01, D01, D07, XDHB",18,Học bạ lớp 12 THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Tài chính - Ngân hàng,7340101,"A00, A01, D01, D07, XDHB",18,Học bạ lớp 12 THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Kế toán,7340301,"A00, A01, D01, D07, XDHB",30,Học bạ 5 học kỳ THPT
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Tài chính - Ngân hàng,7340101,DGNLHCM,650,Đánh giá năng lực Đại học Quốc gia TP.HCM
TTU ,ĐH Tân Tạo,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,Kế toán,7340301,DGNLHCM,650,Đánh giá năng lực Đại học Quốc gia TP.HCM
FPT ,Đại Học FPT,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-fpt/,?,?,?,?,
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Giáo dục Tiểu học,7140202,"A00, D01, C00, C20",25.65,Tốt nghiệp THPT
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Giáo dục Chính trị,7140205,"D01, C00, C19, C20",26.5,Tốt nghiệp THPT
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Sư phạm Toán học,7140209C,"A00, B00, A01, D01",25.5,Tốt nghiệp THPT; CLC
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Sư phạm Tiếng Anh,7140231,"D01, D14, D15",25.3,Tốt nghiệp THPT
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Sư phạm Lịch sử,7140218,"D01, C00, C19, C03",28.12,Tốt nghiệp THPT
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Sư phạm Hóa học,7140212,"A00, B00, A01, D07",24.8,Tốt nghiệp THPT
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Sư phạm Địa lý,7140219,"D01, C00, C04, C20",26.55,Tốt nghiệp THPT
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Ngôn ngữ Anh,7220201,"A01, D01, D14, D15",23.75,Tốt nghiệp THPT
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Ngôn ngữ Anh,7220201,"A01, D01, D14, D15, XDHB",24,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Sư phạm Toán học,7140209,"A00, B00, A01, D01",25,Tốt nghiệp THPT
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Sư phạm Tiếng Anh,7140231C,"A01, D01, D14, D15",27,Tốt nghiệp THPT; Lớp tài năng
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Quản lý giáo dục,7140114,"A00, A01, D01, C00, XDHB",22,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Quản lý văn hoá,7229042,"A00, A01, D01, C00, XDHB",20,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Kinh tế,7310101,"A00, B00, A01, D01, XDHB",22,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Chính trị học,7310201,"A01, D01, C00, C19, XDHB",20,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Quản lý nhà nước,7310205,"A00, A01, D01, C00, XDHB",18,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Việt Nam học,7310630,"A00, A01, D01, C00, XDHB",18,Học bạ; Chuyên ngành: Du lịch
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Quản trị kinh doanh,7340101,"A00, A01, D01, D07, XDHB",23,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Quản trị kinh doanh,7340101C,"A00, A01, D01, D07, XDHB",23,Học bạ; Quản trị kinh doanh chất lượng cao
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Tài chính - Ngân hàng,7340201,"A00, A01, D01, D07, XDHB",22,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Kế toán,7340301,"A00, A01, D01, D07, XDHB",23,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Luật,7380101,"A00, A01, D01, C00, XDHB",20,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Luật,7380107,"A00, A01, D01, C00, XDHB",20,Luật kinh tế; Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Công nghệ sinh học,7420201,"B00, B08, A01, A02, XDHB",18,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Khoa học máy tính,7480101,"A00, A01, D01, D07, XDHB",24,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Công nghệ thông tin,7480201,"A00, A01, D01, D07, XDHB",24,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Công nghệ kỹ thuật ô tô,7510205,"A00, B00, A01, D01, XDHB",23,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh),7510206,"A00, B00, A01, D01, XDHB",21,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,"Công nghệ kỹ thuật điện, điện tử",7510301,"A00, B00, A01, D01, XDHB",23,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Kỹ thuật điện tử - viễn thông,7520207,"A00, B00, A01, D01, XDHB",22,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Kỹ thuật điều khiển và tự động hoá,7520216,"A00, B00, A01, D01, XDHB",23,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Công nghệ thực phẩm,7540101,"A00, B00, A01, D07, XDHB",18,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Kỹ thuật xây dựng,7580201,"A00, B00, A01, D01, XDHB",18,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Kỹ thuật xây dựng,7580205,"A00, B00, A01, D01, XDHB",18,Kỹ thuật xây dựng công trình giao thông; Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Kinh tế,7580301,"A00, B00, A01, D01, XDHB",18,Kinh tế xây dựng; Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Chăn nuôi,7620105,"A00, B00, B08, D01, XDHB",18,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Nông học,7620109,"A00, B00, B08, D01, XDHB",18,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Nuôi trồng thuỷ sản,7620301,"A00, B00, B08, D01, XDHB",18,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Điều dưỡng,7720301,"B00, D13, D08, C08, XDHB",22,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Công tác xã hội,7760101,"A00, A01, D01, C00, XDHB",18,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Quản lý tài nguyên và môi trường,7850101,"A00, B00, B08, D01, XDHB",18,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Quản lý đất đai,7850103,"A00, B00, B08, D01, XDHB",18,Học bạ
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Ngôn ngữ Anh,7220201,"DGNLHCM, DGNLQGHN",18,Đánh giá năng lực Đại học Quốc gia Hà Nội; Đánh giá năng lực Đại học Quốc gia TPHCM
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Quản lý văn hoá,7229042,"DGNLHCM, DGNLQGHN",18,Đánh giá năng lực Đại học Quốc gia Hà Nội; Đánh giá năng lực Đại học Quốc gia TPHCM
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Kinh tế,7310101,"DGNLHCM, DGNLQGHN",18,Đánh giá năng lực Đại học Quốc gia Hà Nội; Đánh giá năng lực Đại học Quốc gia TPHCM
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Chính trị học,7310201,"DGNLHCM, DGNLQGHN",18,Đánh giá năng lực Đại học Quốc gia Hà Nội; Đánh giá năng lực Đại học Quốc gia TPHCM
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Quản lý nhà nước,7310205,"DGNLHCM, DGNLQGHN",18,Đánh giá năng lực Đại học Quốc gia Hà Nội; Đánh giá năng lực Đại học Quốc gia TPHCM
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Việt Nam học,7310630,"DGNLHCM, DGNLQGHN",18,Chuyên ngành Du lịch; Đánh giá năng lực Đại học Quốc gia Hà Nội; Đánh giá năng lực Đại học Quốc gia TPHCM
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Quản trị kinh doanh,7340101,"DGNLHCM, DGNLQGHN",18,Đánh giá năng lực Đại học Quốc gia Hà Nội; Đánh giá năng lực Đại học Quốc gia TPHCM
VU ,Đại Học Vinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,Tài chính - Ngân hàng,7340201,"DGNLHCM, DGNLQGHN",18,Đánh giá năng lực Đại học Quốc gia Hà Nội; Đánh giá năng lực Đại học Quốc gia TPHCM
